title,bechdel,year
Passage de Venus,0,1874
La Rosace Magique,0,1877
Le singe musicien,0,1878
Sallie Gardner at a Gallop,0,1878
Athlete Swinging a Pick,0,1881
Buffalo Running,0,1883
L&#39;homme machine,0,1885
Cockatoo Flying,0,1887
Woman Opening Umbrella,0,1887
Woman Jumping from Rock to Rock,0,1887
Woman Crossing Brook on Stepping-Stones with a Fishing Pole and a Can,0,1887
Jumping Over a Man&#39;s Back-Leapfrog,0,1887
Woman Pouring from Jug,0,1887
Man Riding Jumping Horse,0,1887
Child Carrying Flowers to Woman,0,1887
Man Walking Around the Corner,0,1887
Woman Walking Downstairs,0,1887
Woman Getting Into Bed,0,1887
Roundhay Garden Scene,0,1888
Pferd und Reiter Springen uber ein Hindernis,0,1888
Traffic Crossing Leeds Bridge,0,1888
Accordion Player,0,1888
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0,1889
"Monkeyshines, No. 1",0,1890
"Monkeyshines, No. 3",0,1890
"Monkeyshines, No. 2",0,1890
London&#39;s Trafalgar Square,0,1890
Duncan or Devonald with Muslin Cloud,0,1891
Duncan Smoking,0,1891
La vague,0,1891
Dickson Greeting,0,1891
"Duncan and Another, Blacksmith Shop",0,1891
Newark Athlete,0,1891
"Monkey and Another, Boxing",0,1891
Men Boxing,0,1891
Je vous aime,0,1891
Un bon bock,0,1892
Pauvre Pierrot,0,1892
Le clown et ses chiens,0,1892
Blacksmith Scene,0,1893
Miss Jerry,0,1894
Carmencita,0,1894
Dickson Experimental Sound Film,0,1894
Leonard-Cushing Fight,0,1894
Buffalo Dance,0,1894
Glenroy Brothers,0,1894
"Luis Martinetti, Contortionist",0,1894
Autour d&#39;une cabine,0,1894
Edison Kinetoscope Records: Annie Oakley,0,1894
Sandow No. 3,0,1894
Bucking Broncho,0,1894
Reve au coin du feu,0,1894
Corbett and Courtney Before the Kinetograph,0,1894
"Glenroy Bros., No. 2",0,1894
Annabelle Butterfly Dance,0,1894
Edison Kinetoscopic Record of a Sneeze,0,1894
Sandow No. 2,0,1894
"Barbershop, The",0,1894
Chinese Opium Den,0,1894
Falling Cat,0,1894
Annabelle Serpentine Dance,0,1895
Baby&#39;s Dinner,1,1895
Akrobatisches Potpourri,1,1895
"Execution of Mary, Queen of Scots, The",0,1895
Italienischer Bauerntanz,0,1895
Tables Turned on the Gardener,0,1895
Blacksmith Scene,0,1895
Billy Edwards and the Unknown,0,1895
Barque sortant du port,0,1895
Une nuit terrible,0,1896
La fee aux choux,0,1896
Sandow,0,1896
"Arrival of a Train, The",0,1896
"House of the Devil, The",0,1896
Bataille de neige,0,1897
Four Heads Are Better Than One,0,1898
"Temptation of St. Anthony, The",0,1898
"Astronomer&#39;s Dream; or, The Man in the Moon, The",0,1898
Cinderella,3,1899
A Turn of the Century Illusionist,0,1899
Let Me Dream Again,0,1900
Hamlet ( Le Duel d&#39;Hamlet),0,1900
Sherlock Holmes Baffled,0,1900
"One-Man Band, The",0,1900
Grandma Threading Her Needle,0,1900
"Enchanted Drawing, The",0,1900
"Searching Ruins on Broadway, Galveston, for Dead Bodies",0,1900
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0,1900
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0,1900
"Doctor and the Monkey, The",0,1900
Grandma&#39;s Reading Glass,0,1900
Reve et realite,0,1901
L&#39;homme a la tete en caoutchouc,0,1901
Bluebeard,0,1901
Le voyage dans la lune,0,1902
Mephistopheles&#39; School of Magic,0,1902
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0,1902
Gulliver&#39;s Travels,0,1902
"Great Train Robbery, The",0,1903
"Monster, The",0,1903
"Enchanted Well, The",0,1903
"Music Lover, The",0,1903
"Infernal Boiling Pot, The",0,1903
"Untamable Whiskers, The",0,1904
"Cook in Trouble, The",0,1904
"Living Playing Cards, The",0,1904
Le voyage a travers l&#39;impossible,0,1904
"Scheming Gambler&#39;s Paradise, The",0,1905
"Black Imp, The",0,1905
"Story of the Kelly Gang, The",1,1906
"400 Tricks of the Devil, The",0,1906
"Consequence of Feminism, The",0,1906
"Hilarious Posters, The",0,1906
A Funny Shave,0,1906
Humorous Phases of Funny Faces,0,1906
"Mysterious Retort, The",0,1906
Good Glue Sticks,0,1907
"Eclipse: Courtship of the Sun and Moon, The",0,1907
Unusual Cooking,0,1908
Le barometre de la fidelite,1,1909
"Princess Nicotine; or, The Smoke Fairy",2,1909
"Devilish Tenant, The",0,1909
A Trip to Mars,0,1910
Tilly the Tomboy Visits the Poor,3,1910
Mobilier fidele,0,1910
Cleopatra,2,1912
Max and the Donkey,0,1912
"Invaders, The",0,1912
"Voyage of the Bourrichon Family, The",0,1913
Suspense,0,1913
A Florida Enchantment,2,1914
"Birth of a Nation, The",2,1915
Lady Windermere&#39;s Fan,3,1916
"Vagabond, The",0,1916
Snow White,3,1916
Intolerance: Love&#39;s Struggle Throughout the Ages,0,1916
Gretchen the Greenhorn,3,1916
A Tale of Two Cities,3,1917
"Raffles, the Amateur Cracksman",2,1917
"Poor Little Rich Girl, The",3,1917
A Romance of the Redwoods,0,1917
Rebecca of Sunnybrook Farm,3,1917
Tarzan of the Apes,3,1918
Are Crooks Dishonest?,0,1918
Ich mochte kein Mann sein,3,1918
Stella Maris,3,1918
Broken Blossoms or The Yellow Man and the Girl,0,1919
When the Clouds Roll by,3,1919
Within Our Gates,3,1920
Pollyanna,3,1920
"Cabinet of Dr. Caligari, The",0,1920
Orphans of the Storm,3,1921
"Blot, The",3,1921
"Kid, The",0,1921
K&ouml;rkarlen (The Phantom Carriage),2,1921
"Phantom, The",2,1922
Nathan der Weise,2,1922
"Paleface, The",0,1922
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",3,1922
Foolish Wives,3,1922
"Man from Beyond, The",1,1922
"Nosferatu, eine Symphonie des Grauens",2,1922
H&auml;xan: Witchcraft Through the Ages,3,1922
